"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","regulation","rank","gene_SYMBOL","ENTREZID"
"Ifitm1",1.00888577991186e-11,2.08500192570826,0.603,0.175,3.25718774044545e-07,"Neutrophil 1","Ifitm1","up",31.1441564092796,"Ifitm1","68713"
"Chp1",1.05461586780441e-11,-0.649366044203001,0.291,0.746,3.40482732920655e-07,"Neutrophil 1","Chp1","down",9.67094448414529,"Chp1","56398"
"Mxd1",1.07557601273546e-11,1.04075063587954,0.965,0.984,3.47249715711643e-07,"Neutrophil 1","Mxd1","up",15.4793149147901,"Mxd1","17119"
"Rapgef6",1.10895079846503e-11,-0.773755058956572,0.469,0.905,3.58024765284436e-07,"Neutrophil 1","Rapgef6","down",11.4845861078245,"Rapgef6","192786"
"ENSMUSG00000110697",1.11526714188485e-11,1.66642517957113,0.57,0.175,3.60063996757524e-07,"Neutrophil 1","ENSMUSG00000110697","up",24.7247238140219,"Gm31718","102634034"
"Arpc3",1.20692030270798e-11,-0.680319284536438,0.67,0.952,3.89654219729272e-07,"Neutrophil 1","Arpc3","down",10.0401561560197,"Arpc3","56378"
"Paip2",1.26163702887848e-11,-0.530904546650521,0.212,0.619,4.07319514773418e-07,"Neutrophil 1","Paip2","down",7.81155319180795,"Paip2","67869"
"Basp1",1.42047363158657e-11,1.91353187624716,0.684,0.365,4.58599911957724e-07,"Neutrophil 1","Basp1","up",27.9281654711673,"Basp1","70350"
"Ints12",1.48343570485064e-11,-0.5784566418648,0.187,0.556,4.78927217311028e-07,"Neutrophil 1","Ints12","down",8.41753746385974,"Ints12","71793"
"Atp1b3",1.56777692093727e-11,1.69008313100717,0.652,0.317,5.06156778924596e-07,"Neutrophil 1","Atp1b3","up",24.5001538471759,"Atp1b3","11933"
"Csrnp1",1.71395870364713e-11,1.49457715668008,0.644,0.349,5.53351567472476e-07,"Neutrophil 1","Csrnp1","up",21.5327800570106,"Csrnp1","215418"
"Ifi27l2a",1.75516321054873e-11,2.13935114715737,0.789,0.619,5.66654442525657e-07,"Neutrophil 1","Ifi27l2a","up",30.7713918137747,"Ifi27l2a","76933"
"Mkln1",1.82302116684258e-11,-0.510175427972642,0.181,0.556,5.88562383715127e-07,"Neutrophil 1","Mkln1","down",7.31876390126427,"Mkln1","27418"
"Ssbp2",1.89813335462846e-11,-0.697095758701398,0.068,0.302,6.12812353541799e-07,"Neutrophil 1","Ssbp2","down",9.97209916855709,"Ssbp2","66970"
"Pla2g7",2.08157099351859e-11,1.60068774801733,0.655,0.302,6.72035195257477e-07,"Neutrophil 1","Pla2g7","up",22.7505031299464,"Pla2g7","27226"
"H2az1",2.22503058589194e-11,-0.712008412801931,0.396,0.841,7.18351124655214e-07,"Neutrophil 1","H2az1","down",10.0722898474698,"H2az1","51788"
"Setd2",2.47341552928182e-11,-0.505124446115978,0.259,0.714,7.98542203628636e-07,"Neutrophil 1","Setd2","down",7.0921886815668,"Setd2","235626"
"Lst1",2.68521504097955e-11,1.00991130826144,0.942,1,8.66921675980248e-07,"Neutrophil 1","Lst1","up",14.0966623879834,"Lst1","16988"
"Gapdh",3.06040346664109e-11,-0.638757788540097,0.778,0.984,9.88051259205077e-07,"Neutrophil 1","Gapdh","down",8.83244328781322,"Gapdh","14433"
"Usp18",3.12329273589825e-11,2.1091932765308,0.534,0.143,1.00835505978475e-06,"Neutrophil 1","Usp18","up",29.1220327555243,"Usp18","24110"
"4930469K13Rik",3.19714873618758e-11,1.52665750284335,0.518,0.111,1.03219946947816e-06,"Neutrophil 1","4930469K13Rik","up",21.0431701219994,"4930469K13Rik","76874"
"Dusp2",3.36261480935028e-11,2.2174622121342,0.507,0.079,1.08562019119874e-06,"Neutrophil 1","Dusp2","up",30.4532049152994,"Dusp2","13537"
"1600020E01Rik",3.44746253740724e-11,1.71309234396051,0.535,0.143,1.11301328020193e-06,"Neutrophil 1","1600020E01Rik","up",23.4838228473366,"1600020E01Rik","72012"
"Gpsm3",3.5404251667114e-11,-0.614902544376594,0.501,0.921,1.14302626507278e-06,"Neutrophil 1","Gpsm3","down",8.41299281313645,"Gpsm3","106512"
"Socs3",3.71159850254406e-11,1.79939761357031,0.599,0.238,1.19828957654635e-06,"Neutrophil 1","Socs3","up",24.5340943602207,"Socs3","12702"
"Pde4d",3.79691957916473e-11,-1.41769955650651,0.132,0.413,1.22583548613333e-06,"Neutrophil 1","Pde4d","down",19.2975674630727,"Pde4d","238871"
"Trpm2",3.93193099705568e-11,-0.694993730373579,0.199,0.556,1.26942392239942e-06,"Neutrophil 1","Trpm2","down",9.43589329615731,"Trpm2","28240"
"Kdm6b",3.98812584272123e-11,1.18510235195221,0.822,0.762,1.28756642832255e-06,"Neutrophil 1","Kdm6b","up",16.0732547585637,"Kdm6b","216850"
"Klf2",4.04370927640918e-11,1.38292705177977,0.925,0.889,1.3055115398887e-06,"Neutrophil 1","Klf2","up",18.7371619185293,"Klf2","16598"
"Riok3",4.60437885573547e-11,-0.624015046231854,0.318,0.746,1.4865237135742e-06,"Neutrophil 1","Riok3","down",8.37370173745789,"Riok3","66878"
"Rpl23a",5.140555629974e-11,-0.598312254345504,0.31,0.746,1.65962838513711e-06,"Neutrophil 1","Rpl23a","down",7.9628880404482,"Rpl23a","268449"
"Emilin2",5.20283144542141e-11,1.17350480893408,0.837,0.683,1.6797341321543e-06,"Neutrophil 1","Emilin2","up",15.6039467935456,"Emilin2","246707"
"Fxyd5",5.41339131366432e-11,1.16400404019779,0.9,0.889,1.74771338561653e-06,"Neutrophil 1","Fxyd5","up",15.4314369937719,"Fxyd5","18301"
"Arg2",5.70643069836802e-11,1.01806202642015,0.933,0.857,1.84232115096811e-06,"Neutrophil 1","Arg2","up",13.4429840303115,"Arg2","11847"
"Mideas",5.77646913645005e-11,-0.501058783866087,0.163,0.508,1.8649330607029e-06,"Neutrophil 1","Mideas","down",6.61011047788469,"Mideas","238317"
"Man2b1",5.99438911003777e-11,-0.557177304293172,0.29,0.762,1.93528852417569e-06,"Neutrophil 1","Man2b1","down",7.3298090359506,"Man2b1","17159"
"Pfn1",6.07855559887897e-11,-0.555811580835369,0.913,1,1.96246167509808e-06,"Neutrophil 1","Pfn1","down",7.30409279452272,"Pfn1","18643"
"Ccnt1",6.86855112005332e-11,-0.71246707841416,0.235,0.635,2.21751172910922e-06,"Neutrophil 1","Ccnt1","down",9.27569783358857,"Ccnt1","12455"
"9930021J03Rik",6.91621063631982e-11,-0.504201392954351,0.125,0.429,2.23289860393585e-06,"Neutrophil 1","9930021J03Rik","down",6.56077440445855,"9930021J03Rik","240613"
"Lyst",7.22901806758339e-11,-0.7278612399511,0.787,1,2.3338884831193e-06,"Neutrophil 1","Lyst","down",9.4388862208864,"Lyst","17101"
