"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","regulation","rank","gene_SYMBOL","ENTREZID"
"Zdhhc14",1.1066073089484e-233,-0.948890208405819,0.299,0.638,3.57268169693992e-229,"M1-like","Zdhhc14","down",499.133965217778,"Zdhhc14","224454"
"Wfdc17",2.90578318281422e-233,-1.25925064735813,0.794,0.932,9.38132100571571e-229,"M1-like","Wfdc17","down",661.173664743283,"Wfdc17","100034251"
"Gpr141",6.988248703601e-233,1.30383349295125,0.652,0.361,2.25615609395758e-228,"M1-like","Gpr141","up",683.43788428451,"Gpr141","353346"
"Sell",1.82046709404474e-232,0.843425262237459,0.359,0.063,5.87737801312345e-228,"M1-like","Sell","up",441.295523835554,"Sell","20343"
"Dhrs3",1.98862541088058e-232,-0.612783268967152,0.618,0.871,6.42027713902796e-228,"M1-like","Dhrs3","down",320.565274677419,"Dhrs3","20148"
"Lrp1",2.87141174720412e-232,-0.572428671034681,0.815,0.949,9.27035282584851e-228,"M1-like","Lrp1","down",299.244288800251,"Lrp1","16971"
"COX3",1.85745319158551e-231,-0.695172793402269,0.951,0.993,5.99678762903381e-227,"M1-like","COX3","down",362.112443885974,"COX3","17710"
"Fgl2",5.43493707770416e-230,1.3170490601119,0.691,0.45,1.75466943553679e-225,"M1-like","Fgl2","up",681.598393842857,"Fgl2","14190"
"Phf11d",1.07576859087554e-228,1.0888149808034,0.752,0.565,3.47311889564169e-224,"M1-like","Phf11d","up",560.23233585073,"Phf11d","219132"
"Pik3ap1",4.57969150648072e-228,0.774908450493972,0.909,0.921,1.4785534028673e-223,"M1-like","Pik3ap1","up",397.594221241772,"Pik3ap1","83490"
"Ifit3",1.5970637198246e-227,1.2891608288627,0.707,0.464,5.15612021945371e-223,"M1-like","Ifit3","up",659.839297581305,"Ifit3","15959"
"Arg1",5.35696529877704e-227,-1.7953910221442,0.148,0.458,1.72949624671017e-222,"M1-like","Arg1","down",916.773444632518,"Arg1","11846"
"Igf1",1.11260867205163e-226,-0.792990785658652,0.127,0.443,3.59205709771869e-222,"M1-like","Igf1","down",404.342167971553,"Igf1","16000"
"Ifi209",5.88416738629861e-226,1.14265358847029,0.772,0.602,1.89970344066651e-221,"M1-like","Ifi209","up",580.730385075585,"Ifi209","236312"
"Pld3",2.54664677202091e-224,-0.618780057202902,0.458,0.758,8.22184910346951e-220,"M1-like","Pld3","down",312.150979008151,"Pld3","18807"
"ND3",1.12588562823614e-223,-0.729977858704783,0.681,0.923,3.63492175076038e-219,"M1-like","ND3","down",367.161013350445,"ND3","17718"
"Slfn1",1.3032554285985e-223,0.974485669004335,0.811,0.647,4.20756015123025e-219,"M1-like","Slfn1","up",489.999900441912,"Slfn1","20555"
"ND2",7.20956001919137e-223,-0.727806935009771,0.857,0.972,2.32760645219593e-218,"M1-like","ND2","down",364.717672260587,"ND2","17717"
"Ifit1bl1",3.62259533781058e-222,0.944581759723914,0.372,0.075,1.16955490481215e-217,"M1-like","Ifit1bl1","up",471.822690286683,"Ifit1bl1","667373"
"Trem2",1.57272383085749e-221,-0.881984257448859,0.544,0.824,5.07753888792341e-217,"M1-like","Trem2","down",439.260033803258,"Trem2","83433"
"Ifit3b",2.3668466044324e-221,1.09151669037432,0.514,0.207,7.64136426240999e-217,"M1-like","Ifit3b","up",543.168600707193,"Ifit3b","667370"
"Ifit2",8.0122160505414e-220,1.47531702762693,0.719,0.459,2.58674395191729e-215,"M1-like","Ifit2","up",728.962102789574,"Ifit2","15958"
"Isg20",1.43724586908263e-219,0.971705277249183,0.54,0.248,4.64014828833328e-215,"M1-like","Isg20","up",479.55700742551,"Isg20","57444"
"Smpdl3a",2.01676512948518e-219,-0.717111307306967,0.621,0.852,6.51112622054291e-215,"M1-like","Smpdl3a","down",353.666591382872,"Smpdl3a","57319"
"Sash1",8.97665459170867e-218,-0.878204035378109,0.49,0.793,2.89811293493314e-213,"M1-like","Sash1","down",429.781256238121,"Sash1","70097"
"Psme1",2.10486147552925e-217,0.690842668402525,0.881,0.881,6.79554527374617e-213,"M1-like","Psme1","up",337.500379153377,"Psme1","19186"
"Fyb",2.26694925981297e-216,0.653989991434357,0.949,0.959,7.31884568530617e-212,"M1-like","Fyb","up",317.942196218348,"Fyb","23880"
"Adam15",1.05490225311117e-214,-0.665952879863579,0.555,0.816,3.40575192416941e-210,"M1-like","Adam15","down",321.200664058352,"Adam15","11490"
"Aldh2",1.99398828272505e-214,-0.588501502771647,0.56,0.814,6.43759117077782e-210,"M1-like","Aldh2","down",283.469824692712,"Aldh2","11669"
"Pdpn",8.05663157776909e-214,-1.18039170917217,0.22,0.547,2.60108350488275e-209,"M1-like","Pdpn","down",566.923672274601,"Pdpn","14726"
"Rai14",8.49224960311245e-214,-0.615993705660882,0.295,0.641,2.74172278436485e-209,"M1-like","Rai14","down",295.819703201903,"Rai14","75646"
"Sirpb1c",2.25153230486932e-213,0.631357520226511,0.517,0.218,7.26907204627059e-209,"M1-like","Sirpb1c","up",302.582293754062,"Sirpb1c","100038947"
"ATP6",3.40319695840461e-212,-0.668438581335208,0.943,0.992,1.09872213802093e-207,"M1-like","ATP6","down",318.538367553898,"ATP6","17705"
"Phf11b",8.70970157913094e-212,1.04469142711608,0.756,0.596,2.81192715482242e-207,"M1-like","Phf11b","up",496.856542521914,"Phf11b","236451"
"Bcar3",2.42338706623314e-211,-0.532394410338641,0.149,0.471,7.82390514333368e-207,"M1-like","Bcar3","down",252.662637436824,"Bcar3","29815"
"Dab2",1.450857975402e-209,-0.875147677010137,0.552,0.825,4.68409497358536e-205,"M1-like","Dab2","down",411.744529856343,"Dab2","13132"
"Klra2",4.7517315497665e-209,0.79781904519986,0.561,0.274,1.53409653084211e-204,"M1-like","Klra2","up",374.416013056871,"Klra2","16633"
"Kcnk13",8.25703711875679e-209,-0.630817920613331,0.32,0.663,2.66578443379063e-204,"M1-like","Kcnk13","down",295.693919903927,"Kcnk13","217826"
"Bst2",7.08124061903598e-208,0.847265488295021,0.92,0.899,2.28617853385577e-203,"M1-like","Bst2","up",395.332290986384,"Bst2","69550"
"Nav1",1.07214383600123e-207,-0.670934535202447,0.57,0.841,3.46141637452997e-203,"M1-like","Nav1","down",312.778338844521,"Nav1","215690"
"Wwp1",3.68123845142724e-207,-0.939261362919013,0.47,0.754,1.18848783404328e-202,"M1-like","Wwp1","down",436.709107645955,"Wwp1","107568"
"C130026I21Rik",1.11453309822872e-205,0.888157156663267,0.731,0.548,3.59827010763142e-201,"M1-like","C130026I21Rik","up",409.919299585748,"C130026I21Rik","620078"
"Tbxas1",1.23879781949767e-205,-0.65664730952726,0.64,0.873,3.99945876024822e-201,"M1-like","Tbxas1","down",302.999029955172,"Tbxas1","21391"
"Xaf1",3.07181851843924e-205,0.83263283365883,0.823,0.705,9.91736608678107e-201,"M1-like","Xaf1","up",383.448499100156,"Xaf1","327959"
"Fcgr3",2.44499452719513e-202,-0.586768162390183,0.759,0.909,7.89366483104947e-198,"M1-like","Fcgr3","down",266.302258971778,"Fcgr3","14131"
"Gpx1",1.12256198830217e-201,-0.873125349612747,0.941,0.978,3.62419137923355e-197,"M1-like","Gpx1","down",394.933483185852,"Gpx1","14775"
"Cfh",1.35918884920681e-201,-0.8476917333841,0.205,0.515,4.38814119966418e-197,"M1-like","Cfh","down",383.267166548957,"Cfh","12628"
"Anxa2",1.55660815058946e-201,-0.812658761404843,0.85,0.95,5.02550941417808e-197,"M1-like","Anxa2","down",367.317482721588,"Anxa2","12306"
"Fcgrt",3.48393415362303e-200,-0.814448132765634,0.338,0.626,1.12478814149719e-195,"M1-like","Fcgrt","down",365.594770473752,"Fcgrt","14132"
"Rhoc",9.45304129871046e-200,-0.573884992992155,0.255,0.569,3.05191438328867e-195,"M1-like","Rhoc","down",257.03638772217,"Rhoc","11853"
"Pltp",4.30168074948662e-198,-0.835493702701152,0.802,0.939,1.38879762997176e-193,"M1-like","Pltp","down",371.018093429941,"Pltp","18830"
"Herc6",2.31134362593693e-197,1.12731902991267,0.78,0.649,7.46217289633739e-193,"M1-like","Herc6","up",498.713624341951,"Herc6","67138"
"Cacna1a",3.79153809056998e-197,-0.824220268708603,0.194,0.498,1.22409807254052e-192,"M1-like","Cacna1a","down",364.218101494802,"Cacna1a","12286"
"Plec",9.76989133441312e-196,-0.556571405741989,0.646,0.883,3.15420941731528e-191,"M1-like","Plec","down",244.137272552449,"Plec","18810"
"Klrk1",1.78623156660577e-194,0.596628820320327,0.475,0.184,5.76684861278674e-190,"M1-like","Klrk1","up",259.974470539397,"Klrk1","27007"
"Ifi204",2.10771039913727e-192,0.935206820580521,0.89,0.867,6.80474302361467e-188,"M1-like","Ifi204","up",403.044566195738,"Ifi204","15951"
"Sema4d",6.38708813745218e-192,0.796806394370862,0.794,0.648,2.06207140517644e-187,"M1-like","Sema4d","up",342.51495873859,"Sema4d","20354"
"Rnf128",6.9155133909327e-191,-0.535882286781654,0.179,0.479,2.23267349826262e-186,"M1-like","Rnf128","down",229.077688600217,"Rnf128","66889"
"Tagln2",7.41040508778355e-191,-0.746866239486463,0.708,0.884,2.39244928259092e-186,"M1-like","Tagln2","down",319.216986327759,"Tagln2","21346"
"Psd3",2.83636541364944e-189,-0.924441926792106,0.192,0.486,9.15720573796721e-185,"M1-like","Psd3","down",391.744932369952,"Psd3","234353"
"Selenop",9.83332264373998e-187,-1.45262622831014,0.718,0.882,3.17468821553145e-182,"M1-like","Selenop","down",607.07469330398,"Selenop","20363"
"Sptbn1",5.50283688585031e-186,-0.562724723632133,0.536,0.796,1.77659088859677e-181,"M1-like","Sptbn1","down",234.202206562335,"Sptbn1","20742"
"Dennd4c",9.57472382715505e-186,-0.582430070126131,0.551,0.821,3.09119958759701e-181,"M1-like","Dennd4c","down",242.080851457871,"Dennd4c","329877"
"Ptprc",3.37711956413885e-185,0.568120058561041,0.962,0.975,1.09030305128223e-180,"M1-like","Ptprc","up",235.416942807678,"Ptprc","19264"
"Nrp1",5.46362050182715e-185,-0.707726186031028,0.433,0.741,1.7639298790149e-180,"M1-like","Nrp1","down",292.926291961701,"Nrp1","18186"
"Lmna",2.44882907153125e-184,-0.661608050254119,0.622,0.864,7.90604465743865e-180,"M1-like","Lmna","down",272.845631031639,"Lmna","16905"
"Zbp1",1.72719033084333e-183,0.776030655011866,0.842,0.777,5.5762339831277e-179,"M1-like","Zbp1","up",318.517295348766,"Zbp1","58203"
"Cd9",4.49109245982643e-183,-0.848151934755611,0.212,0.507,1.44994920065496e-178,"M1-like","Cd9","down",347.308563643523,"Cd9","12527"
"Cyria",2.48235932252517e-182,0.822590655668059,0.662,0.423,8.01429707277251e-178,"M1-like","Cyria","up",335.43512873624,"Cyria","76820"
"Anxa5",2.8570891384892e-182,-0.515192776909579,0.908,0.968,9.2241122836124e-178,"M1-like","Anxa5","down",210.012320939122,"Anxa5","11747"
"Agap1",3.64335310118703e-182,-0.53025737031834,0.3,0.603,1.17625654871823e-177,"M1-like","Agap1","down",216.024320413327,"Agap1","347722"
"Ifi214",6.75562299425606e-182,1.12080429980354,0.642,0.41,2.18105288369557e-177,"M1-like","Ifi214","up",455.918255440042,"Ifi214","545384"
"Add3",4.41069711278557e-181,-0.568700380553435,0.303,0.607,1.42399356286282e-176,"M1-like","Add3","down",230.267643434691,"Add3","27360"
"CYTB",8.51916976247781e-180,-0.66315684584473,0.885,0.976,2.75041395781596e-175,"M1-like","CYTB","down",266.549686935424,"CYTB","17711"
"Psmb9",1.08940293675809e-179,0.722065189304524,0.8,0.725,3.51713738132348e-175,"M1-like","Psmb9","up",290.049791267291,"Psmb9","16912"
"Prr13",8.66709783875554e-179,-0.729632401652859,0.703,0.872,2.79817253724223e-174,"M1-like","Prr13","down",291.576312978621,"Prr13","66151"
"Ap1b1",1.75814762287062e-178,-0.518046818341969,0.375,0.665,5.67617960043781e-174,"M1-like","Ap1b1","down",206.655883860045,"Ap1b1","11764"
"Ifih1",3.91818753873726e-178,0.87919647731969,0.851,0.782,1.26498684688132e-173,"M1-like","Ifih1","up",350.018808090583,"Ifih1","71586"
"Cxcl10",1.05973063780559e-177,2.12575484145787,0.459,0.19,3.42134036415535e-173,"M1-like","Cxcl10","up",844.173786493114,"Cxcl10","15945"
"Ifit1",3.62707520284649e-175,1.14995129813903,0.698,0.498,1.17100122923899e-170,"M1-like","Ifit1","up",449.954791533424,"Ifit1","15957"
"Clec12a",6.60385550170297e-175,0.740039540498678,0.83,0.752,2.1320547487248e-170,"M1-like","Clec12a","up",289.120408697505,"Clec12a","232413"
"Tppp3",2.5135981557655e-174,-0.897515486229678,0.185,0.466,8.11515164588892e-170,"M1-like","Tppp3","down",349.44382479412,"Tppp3","67971"
